MACID,PARTNUM,REVISION,WORKNO,LINEID,OPERTOR,BARCODE,TRESULT,TESTDATE,TESTTIME,FL01,FL02,FL03,FL04,FL05,FL06,FL07,FL08,FL09,FL10,SDATE,STIME,ITSDATE,ITSTIME,FPATH
YM102L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170722,85118,X758FlexOpened,20170722,84948,764239,OT_H7,0,0,L62,1,,20170722,85118,20170722,84949,FHAPCE7/20170721N/YM102L/OQC_FLEX_POR_AutoAlign_tester764239_4.0.0_N_0.csv
YM102R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170722,85156,X758FlexOpened,20170722,85029,763746,OT_H7,0,0,L62,1,,20170722,85156,20170722,85030,FHAPCE7/20170721N/YM102R/OQC_FLEX_POR_AutoAlign_tester763746_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170722,83319,X758FlexOpened,20170722,83312,763675,OT_B5,0,0,L38,0,,20170722,83319,20170722,83313,FHAPCE7/20170721N/tester/OQC_FLEX_POR_AutoAlign_tester763675_4.0.0_N_0.csv
YM64R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,203118,X758FlexOpened,20170724,203147,763888,OT_B7,28,78.57,L39,0,,20170724,203118,20170724,203148,FHAPCE7/20170724N/YM64R/OQC_FLEX_POR_AutoAlign_tester763888_4.0.0_N_0.csv
YM69L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,203314,X758FlexOpened,20170724,203341,763964,OT_H7,27,92.59,L39,0,,20170724,203314,20170724,203342,FHAPCE7/20170724N/YM69L/OQC_FLEX_POR_AutoAlign_tester763964_4.0.0_N_0.csv
YM58L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,205453,X758FlexOpened,20170724,205458,764244,OT_H7,41,95.12,L38,0,,20170724,205453,20170724,205459,FHAPCE7/20170724N/YM58L/OQC_FLEX_POR_AutoAlign_tester764244_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,205421,X758FlexOpened,20170724,205438,763675,OT_B7,42,97.62,L38,0,,20170724,205421,20170724,205438,FHAPCE7/20170724N/tester/OQC_FLEX_POR_AutoAlign_tester763675_4.0.0_N_0.csv
YM64L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,203147,X758FlexOpened,20170724,203218,763495,OT_H7,27,100,L39,0,,20170724,203147,20170724,203219,FHAPCE7/20170724N/YM64L/OQC_FLEX_POR_AutoAlign_tester763495_4.0.0_N_0.csv
YM03R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170712,81351,X758FlexOpened,20170712,100140,762960,OT_H7,,,,,,20170712,81351,20170712,100142,FHAPCE7/20170712D/YM03R/OQC_FLEX_POR_AutoAlign_tester762960_4.0.0_D_0.csv
YM05R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170712,81200,X758FlexOpened,20170712,100004,762943,OT_H7,,,,,,20170712,81200,20170712,100005,FHAPCE7/20170712D/YM05R/OQC_FLEX_POR_AutoAlign_tester762943_4.0.0_D_0.csv
YM05L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170712,81305,X758FlexOpened,20170712,95941,762966,OT_H7,,,,,,20170712,81305,20170712,95942,FHAPCE7/20170712D/YM05L/OQC_FLEX_POR_AutoAlign_tester762966_4.0.0_D_0.csv
YM03L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170712,81311,X758FlexOpened,20170712,100106,762945,OT_H7,,,,,,20170712,81311,20170712,100107,FHAPCE7/20170712D/YM03L/OQC_FLEX_POR_AutoAlign_tester762945_4.0.0_D_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170717,92446,X758FlexOpened,20170717,92444,763499,OT_H7,23,86.96,L38,,,20170717,92446,20170717,92445,FHAPCE7/20170717D/tester/OQC_FLEX_POR_AutoAlign_tester763499_4.0.0_D_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170717,92354,X758FlexOpened,20170717,92415,763675,OT_H7,27,88.89,L38,,,20170717,92354,20170717,92416,FHAPCE7/20170716N/tester/OQC_FLEX_POR_AutoAlign_tester763675_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170717,92243,X758FlexOpened,20170717,92242,763248,OT_H7,21,95.24,L38,,,20170717,92243,20170717,92243,FHAPCE7/20170717D/tester/OQC_FLEX_POR_AutoAlign_tester763248_4.0.0_D_0.csv
YM58L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170717,92152,X758FlexOpened,20170717,92214,764244,OT_H7,54,98.15,L38,,,20170717,92152,20170717,92215,FHAPCE7/20170716N/YM58L/OQC_FLEX_POR_AutoAlign_tester764244_4.0.0_N_0.csv
